sample_idx,NP,CR,F,lambda,k_max_budget,n_gens,converged,best_f_final,feasible_f,gen_to_half
0,67,0.7271,0.687,0.4423,60,60,False,38.1031,38.1031,60
1,64,0.6517,1.1941,0.6981,60,60,False,40.3288,40.3288,60
2,14,0.6468,0.8104,0.831,60,60,False,38.7671,38.7671,60
3,45,0.7562,0.992,0.1729,60,60,False,41.0758,41.0758,60
4,56,0.8192,0.4446,0.5647,60,60,False,36.73,36.73,60
5,44,0.5135,1.0673,0.7389,60,60,False,38.1069,38.1069,60
6,28,0.9945,0.6357,0.3176,60,60,False,38.5062,38.5062,60
7,76,0.9361,0.3037,0.2003,60,60,False,35.312,35.312,60
