run,field,first,peak_abs,last,min,max,mean
da62_test-1,optvars,0.20126260824479125,12.0,4.0,0.03475337485566418,12.0,4.7730391014859315
da62_test-2,optvars,0.13562299868813418,12.0,2.0,0.023982625883170194,12.0,4.704182140710333
