run,field,first,peak_abs,last,min,max,mean
da62_test-1,local.M2,1392016.0541899442,1625619.5957244309,3438.5081814154983,-829783.6725352146,1625619.5957244309,212066.49988481638
da62_test-2,local.M2,1396592.5594217721,1565033.010221187,1803.3780863536522,-850113.3816960305,1565033.010221187,201947.7081024158
da62_test-3,local.M2,1390081.2695344575,1534044.5454646405,2518.6821911223233,-862958.0522713959,1534044.5454646405,187024.57990186717
da62_test-4,local.M2,1390081.2695344575,1534044.5454646405,2518.6821911223233,-862958.0522713959,1534044.5454646405,187024.57990186717
da62_test-5,local.M2,1429993.8535881331,1551940.0944030504,2307.717608757317,-850289.4851160236,1551940.0944030504,201911.61798110278
da62_test-6,local.M2,1386950.4161828384,1544567.9355808857,2515.750710759312,-863627.4237043783,1544567.9355808857,187457.9960378172
da62_test-single-nooffset-2,local.M2,1378328.006204309,1616916.1940238574,2500.4951970018446,-820605.1604911461,1616916.1940238574,210973.72034266853
da62_test-1,global.N,-2.0915445020364132e-07,3.6685378290712833e-07,4.009962140116841e-09,-2.8507201932370663e-07,3.6685378290712833e-07,-1.0609207637654353e-07
da62_test-2,global.N,1.8217178876511753e-09,1.8217178876511753e-09,-9.458744898438454e-11,-9.458744898438454e-11,1.8217178876511753e-09,9.944911157204347e-10
da62_test-3,global.N,-2.828528522513807e-10,-3.819877747446299e-09,-2.3283064365386963e-10,-3.819877747446299e-09,-5.093170329928398e-11,-9.875458834523504e-10
da62_test-4,global.N,-2.828528522513807e-10,-3.819877747446299e-09,-2.3283064365386963e-10,-3.819877747446299e-09,-5.093170329928398e-11,-9.875458834523504e-10
da62_test-5,global.N,-8.129293405545468e-06,-9.194627637043595e-06,-1.400563633069396e-06,-9.194627637043595e-06,5.598340067081153e-06,-4.088590350968182e-06
da62_test-6,global.N,-7.471126082236879e-07,-7.473881851183251e-07,-6.330083124339581e-10,-7.473881851183251e-07,1.3242242857813835e-09,-2.0398327003270175e-07
da62_test-single-nooffset-2,global.N,1.439275365555659e-09,1.6443664208054543e-09,1.8189894035458565e-10,-8.003553375601768e-10,1.6443664208054543e-09,7.519247446907684e-10
da62_test-1,global.S1,-494.98539949770566,-494.98539949770566,-25.41680001403438,-494.98539949770566,-25.41680001403438,-235.09228145833166
da62_test-2,global.S1,-494.9854000002342,-494.9854000002342,-25.416799999533396,-494.9854000002342,-25.416799999533396,-235.09228181891856
da62_test-3,global.S1,-494.9853999666375,-494.9853999666375,-25.416799999191426,-494.9853999666375,-25.416799999191426,-235.09228180146476
da62_test-4,global.S1,-494.9853999666375,-494.9853999666375,-25.416799999191426,-494.9853999666375,-25.416799999191426,-235.09228180146476
da62_test-5,global.S1,-494.9854075142648,-494.9854075142648,-25.416801173239946,-494.9854075142648,-25.416801173239946,-235.09228889850766
da62_test-6,global.S1,-494.9853999434672,-494.9853999434672,-25.4167999997444,-494.9853999434672,-25.4167999997444,-235.09228180144513
da62_test-single-nooffset-2,global.S1,-494.98540000626963,-494.98540000626963,-25.416799997969065,-494.98540000626963,-25.416799997969065,-235.09228182134012
da62_test-1,global.S2,-15711.565899819892,-15711.565899819892,-321.677500000751,-15711.565899819892,-321.677500000751,-7118.2235407757225
